NGO0001	5895	11234	8937	5880	7845
NGO0002	2927	5124	4498	2829	4143
NGO0003	1173	1758	1567	934	1366
NGO0006	3826	5417	5189	3699	4691
NGO0007	202	306	204	142	255
NGO0011	1302	1744	2288	1665	1652
NGO0016	3232	3651	6445	5414	3277
NGO0017	1337	1154	1706	1193	1363
NGO0018	604	388	994	626	687
NGO0019	822	882	1027	733	997
NGO0020	200	158	382	242	197
NGO0021	14	28	33	18	29
NGO0022	17	10	15	7	22
NGO0023	18	26	19	7	43
NGO0025	48	48	76	36	273
NGO0026	2092	1845	2034	1776	1577
NGO0027	1075	949	1159	706	959
NGO0028	156	90	258	89	101
NGO0029	946	1102	939	736	1196
NGO0030	702	668	826	471	649
NGO0031	184	225	311	109	190
NGO0032	928	1711	1636	1039	1193
NGO0033	183	153	190	152	176
NGO0034	4049	3644	4486	3493	4590
NGO0035	367	416	433	313	467
NGO0036	6171	7827	6520	5175	7927
NGO0037	1143	1582	2248	1276	811
NGO0040	3610	3604	3375	2686	3636
NGO0042	554	693	996	545	437
NGO0043	945	926	1655	744	601
NGO0044	4399	4405	5621	3465	4206
NGO0045	642	1729	1948	382	1570
NGO0047	1722	2805	2873	2443	1940
NGO0048	10588	10769	9590	7984	8360
NGO0050	735	764	797	523	638
NGO0053	1461	1922	2544	1283	1770
NGO0055	19213	25953	28277	20177	20932
NGO0056	5633	6695	7091	5707	6969
NGO0057	1396	2445	6176	4091	860
NGO0058	5228	11390	9756	6711	7946
NGO0059	456	1075	1705	623	427
NGO0060	1104	2418	3343	1237	1076
NGO0062	7270	10416	7368	5182	9528
NGO0063	3211	7109	4195	2784	4521
NGO0065	844	1372	1409	881	845
NGO0066	2970	2859	2851	2461	2352
NGO0068	2385	3602	3552	2756	2557
NGO0069	9758	11506	10088	8240	11115
NGO0071	460	955	1154	758	793
NGO0072	2461	4275	4526	2831	3452
NGO0072a	111	85	194	91	65
NGO0073	344	361	396	279	428
NGO0078	3222	5118	4293	2829	4194
NGO0079	32	42	158	50	23
NGO0080	109	161	93	139	127
NGO0081	885	896	1035	808	685
NGO0082	356	256	416	338	266
NGO0083	359	396	538	362	367
NGO0084	660	718	885	525	623
NGO0085	1174	1150	1376	1006	1028
NGO0086	706	779	972	541	633
NGO0087	1093	1334	1312	850	1030
NGO0088	886	969	1245	741	668
NGO0089	699	591	740	425	558
NGO0090	245	178	413	145	128
NGO0091	1656	1757	2045	1586	1715
NGO0092	1525	1542	1955	1263	1254
NGO0093	381	543	651	454	381
NGO0094	30958	41910	43374	31523	34577
NGO0095	4766	5238	4749	3715	4567
NGO0096	3885	4147	4752	3107	3910
NGO0097	4627	4562	4532	3052	4515
NGO0098	14953	16992	16549	14651	15816
NGO0099	1238	2054	2291	1695	2400
NGO0100	653	999	657	581	653
NGO0101	2710	2847	2309	2618	2907
NGO0102	3164	3501	3907	3340	3238
NGO0103	825	1496	1686	1001	986
NGO0104	720	1106	1496	773	694
NGO0105	280	504	447	335	385
NGO0106	3419	4092	3641	2919	4417
NGO0107	1495	1468	1659	1495	1475
NGO0110	193	517	537	293	386
NGO0112	181	305	293	139	267
NGO0113	2287	2679	2415	2150	3837
NGO0114	1628	1378	3253	981	2076
NGO0116	5123	8838	5229	5861	13444
NGO0117	1617	1388	1863	1376	1727
NGO0118	897	982	1211	630	971
NGO0119	162	212	274	269	235
NGO0121	138	245	164	137	298
NGO0123	470	719	767	511	669
NGO0124	74	127	337	154	167
NGO0125	32	41	40	26	39
NGO0125a	64	140	212	118	108
NGO0127	374	549	624	376	552
NGO0129	1025	951	1528	1117	924
NGO0130	678	469	1154	626	493
NGO0131	536	403	827	709	407
NGO0132	681	496	689	705	520
NGO0135	514	509	675	483	328
NGO0136	1422	1221	1865	1442	1161
NGO0138	1888	1322	1841	1459	1608
NGO0139	522	534	711	533	421
NGO0140	86	102	165	69	60
NGO0142	7506	10166	9574	8496	12862
NGO0143	1552	2174	2471	1660	1758
NGO0144	967	1141	1194	862	1058
NGO0145	511	753	674	608	871
NGO0146	3093	4914	4840	3752	3181
NGO0149	2046	2239	2952	1985	2014
NGO0151	2058	2142	2836	2091	1486
NGO0152	176	145	268	161	92
NGO0153	526	339	717	379	303
NGO0154	484	616	659	483	429
NGO0156	3964	10042	7975	5028	6746
NGO0158	4718	11410	10740	4977	7242
NGO0161	42	75	41	43	56
NGO0165	15	16	37	25	30
NGO0166	46	55	81	37	27
NGO0168	1308	1115	1233	1106	1138
NGO0169	97	128	203	92	158
NGO0170	1249	1531	1205	1272	1411
NGO0171	8300	14002	11629	7874	9492
NGO0172	9353	14085	12788	8446	8678
NGO0173	8681	12924	10543	7245	9343
NGO0174	3100	1689	5739	4430	1945
NGO0176	1148	1752	2341	1553	1742
NGO0177	7339	8362	9010	6950	9754
NGO0178	668	1026	993	688	713
NGO0179	4	18	34	12	15
NGO0180	349	226	429	299	173
NGO0181	428	396	593	382	440
NGO0182	1150	1094	1270	710	1065
NGO0183	277	131	368	224	157
NGO0184	812	635	757	510	660
NGO0185	882	806	988	705	882
NGO0186	12719	17581	15474	11582	22101
NGO0187	175	191	280	141	197
NGO0188	3020	3758	4408	4469	3441
NGO0189	7805	12766	13163	9399	9511
NGO0190	3951	6662	6317	4571	4783
NGO0191	10706	16352	16710	18308	12735
NGO0195	1056	1158	1683	1090	1011
NGO0196	982	880	1581	1144	702
NGO0197	508	779	942	873	716
NGO0198	8029	14903	11388	9616	13319
NGO0199	2953	4787	5551	3149	2510
NGO0200	30753	38002	32620	24418	37030
NGO0201	381	478	419	385	568
NGO0202	452	633	745	533	795
NGO0203	150	180	281	192	238
NGO0204	300	316	428	288	295
NGO0205	400	558	454	424	542
NGO0206	6953	10600	7590	7131	10421
NGO0207	1658	3914	2253	1989	2999
NGO0208	2657	4822	3528	2896	4384
NGO0209	2518	2201	2282	1910	1447
NGO0210	625	469	592	435	534
NGO0211	1389	1239	1208	879	1182
NGO0212	1786	1784	1824	1122	2028
NGO0213	918	1097	893	793	1226
NGO0214	8599	10406	9404	6377	12137
NGO0215	1011	2048	2312	771	1767
NGO0216	1329	2251	2878	1234	2254
NGO0217	12931	53412	32922	14159	62526
NGO0219	3913	6737	5048	3439	5569
NGO0220	1957	3213	3149	1895	2839
NGO0221	487	837	725	297	694
NGO0222	156	159	478	143	115
NGO0223	4103	6612	5935	5290	6275
NGO0224	565	719	999	715	507
NGO0225	856	1739	2071	1461	1157
NGO0226	235	597	386	259	441
NGO0227	16	41	70	19	38
NGO0229	293	805	532	529	565
NGO0230	492	518	717	452	370
NGO0231	752	775	1179	603	678
NGO0232	911	677	1036	686	681
NGO0233	3318	3048	3093	2837	2913
NGO0234	680	892	865	561	450
NGO0235	2036	2515	2864	1614	1498
NGO0236	3561	4149	4413	2829	4537
NGO0237	403	330	365	344	367
NGO0239	493	829	799	489	522
NGO0240	11252	13520	10564	10121	13311
NGO0242	1316	1478	2106	1243	1241
NGO0243	972	1164	1181	902	1143
NGO0244	156	121	271	177	175
NGO0245	1289	1475	1798	1006	1606
NGO0248	2143	5934	6399	3986	2795
NGO0249	3673	6350	9913	5177	4005
NGO0250	793	557	638	622	782
NGO0250a	229	105	397	132	116
NGO0255	321	552	567	368	318
NGO0256	394	402	754	340	381
NGO0257	574	784	1118	576	713
NGO0258	199	398	785	224	408
NGO0259	511	1047	1644	642	510
NGO0260	404	965	1156	408	360
NGO0261	719	866	900	655	635
NGO0262	422	609	538	295	429
NGO0263	6137	7591	6957	6066	6991
NGO0264	490	750	852	457	553
NGO0265	1633	1665	2315	1157	1274
NGO0266	1880	3550	3426	2138	2503
NGO0268	1826	2364	2240	1740	1951
NGO0269	3383	4642	4127	3338	4472
NGO0270	1199	1548	1815	1450	1599
NGO0271	1035	1514	1232	930	1345
NGO0272	2525	3320	3364	2626	2815
NGO0274	3140	3201	3628	2883	3592
NGO0275	5104	8434	7861	6084	9511
NGO0276	620	793	1212	673	774
NGO0277	3243	3818	3570	3670	4538
NGO0278	1518	2560	2752	1684	1524
NGO0281	767	1182	1367	716	885
NGO0282	457	462	665	486	517
NGO0283	1662	1861	2441	1301	1575
NGO0284	1080	1036	1185	997	1079
NGO0285	885	907	984	742	729
NGO0286	1811	3512	2551	2052	3708
NGO0288	4390	5967	7534	5297	5816
NGO0289	377	406	601	379	329
NGO0291	1832	4603	4683	2245	3622
NGO0292	290	310	454	364	274
NGO0293	1599	1496	1644	1357	1315
NGO0294	1870	2138	2087	2025	1826
NGO0295	12011	18072	23008	16222	12410
NGO0296	5576	7819	9232	6067	4222
NGO0297	4459	4277	6345	6523	4045
NGO0298	6899	6958	10597	6526	4907
NGO0299	1329	1495	1857	1430	1010
NGO0300	189	148	247	121	121
NGO0302	10	4	14	3	4
NGO0303	875	1406	1231	957	705
NGO0304	6783	12619	10961	7249	6516
NGO0305	665	532	940	565	447
NGO0306	435	524	1164	293	402
NGO0307	76	198	382	203	154
NGO0308	281	522	614	338	446
NGO0309	122	183	237	91	187
NGO0310	95	157	184	82	112
NGO0312	1103	1693	1292	1203	1733
NGO0313	1326	1739	1525	1338	1594
NGO0314	1278	1846	1408	921	1188
