,ids,growth,status
172,{'NGO0044'},,infeasible
173,{'NGO0436'},,infeasible
174,{'NGO0214'},,infeasible
175,{'NGO2165'},,infeasible
176,{'NGO1403'},,infeasible
177,{'NGO1773'},1.0176868011980127,optimal
178,{'NGO1926'},,infeasible
179,{'NGO0912'},,infeasible
180,{'NGO0620'},,infeasible
181,{'NGO0441'},,infeasible
182,{'NGO2140'},1.0176868011980127,optimal
183,{'NGO1997'},,infeasible
184,{'NGO0142'},,infeasible
185,{'NGO1466'},,infeasible
186,{'NGO1331'},,infeasible
187,{'NGO1694'},,infeasible
188,{'NGO1747'},,infeasible
189,{'NGO1404'},,infeasible
190,{'NGO1567'},,infeasible
191,{'NGO0146'},,infeasible
192,{'NGO0977'},1.0176868011980127,optimal
193,{'NGO0594'},,infeasible
194,{'NGO0101'},1.0176868011980127,optimal
195,{'NGO1188'},1.0176868011980127,optimal
196,{'NGO1797'},,infeasible
197,{'NGO2037'},1.0176868011980127,optimal
198,{'NGO1358'},,infeasible
199,{'NGO1041'},1.0176868011980127,optimal
200,{'NGO1533'},,infeasible
201,{'NGO2164'},1.017686801198012,optimal
202,{'NGO1749'},,infeasible
203,{'NGO0617'},,infeasible
204,{'NGO2151'},,infeasible
205,{'NGO1500'},,infeasible
206,{'NGO0565'},,infeasible
207,{'NGO0533'},,infeasible
208,{'NGO2073'},1.0158271956190557,optimal
209,{'NGO0310'},,infeasible
210,{'NGO0929'},,infeasible
211,{'NGO2102'},,infeasible
212,{'NGO0597'},,infeasible
213,{'NGO1521'},1.0176868011980127,optimal
214,{'NGO2144'},,infeasible
215,{'NGO0968'},1.0176868011980127,optimal
216,{'NGO0168'},,infeasible
217,{'NGO1467'},1.0176868011980127,optimal
218,{'NGO0713'},1.0176868011980127,optimal
219,{'NGO1470'},,infeasible
220,{'NGO0994'},,infeasible
221,{'NGO0072'},,infeasible
222,{'NGO1667'},,infeasible
223,{'NGO1342'},,infeasible
224,{'NGO1769'},,infeasible
225,{'NGO0373'},1.0176868011980127,optimal
226,{'NGO1602'},,infeasible
227,{'NGO0313'},1.0176868011980127,optimal
228,{'NGO1541'},,infeasible
229,{'NGO1415'},,infeasible
230,{'NGO0970'},,infeasible
231,{'NGO1565'},,infeasible
232,{'NGO0230'},,infeasible
233,{'NGO0338'},,infeasible
234,{'NGO1986'},,infeasible
235,{'NGO0564'},,infeasible
236,{'NGO0918'},,infeasible
237,{'NGO0971'},,infeasible
238,{'NGO1918'},,infeasible
239,{'NGO0266'},,infeasible
240,{'NGO0445'},,infeasible
241,{'NGO2124'},,infeasible
242,{'NGO1746'},,infeasible
243,{'NGO0956'},,infeasible
244,{'NGO0605'},,infeasible
245,{'NGO1406'},,infeasible
246,{'NGO0704'},,infeasible
247,{'NGO0093'},,infeasible
248,{'NGO2072'},,infeasible
249,{'NGO1531'},,infeasible
250,{'NGO0715'},,infeasible
251,{'NGO1542'},1.0176868011980127,optimal
252,{'NGO1939'},,infeasible
253,{'NGO1737'},,infeasible
254,{'NGO2053'},,infeasible
255,{'NGO2147'},,infeasible
256,{'NGO0917'},,infeasible
257,{'NGO0353'},,infeasible
258,{'NGO1745'},,infeasible
259,{'NGO1183'},,infeasible
260,{'NGO0792'},,infeasible
261,{'NGO1341'},,infeasible
262,{'NGO2021'},,infeasible
263,{'NGO0154'},,infeasible
264,{'NGO0923'},,infeasible
265,{'NGO0437'},,infeasible
266,{'Sgene'},,infeasible
267,{'NGO2085'},,infeasible
268,{'NGO1416'},,infeasible
269,{'NGO0611'},1.0176868011980127,optimal
270,{'NGO1368'},1.0176868011980127,optimal
271,{'NGO04615'},,infeasible
272,{'NGO1418'},,infeasible
273,{'NGO1915'},,infeasible
274,{'NGO0082'},1.0176868011980125,optimal
275,{'NGO0170'},,infeasible
276,{'NGO0375'},,infeasible
277,{'NGO0758'},1.0176868011980118,optimal
278,{'NGO0947'},,infeasible
279,{'NGO2149'},,infeasible
280,{'NGO1290'},1.0176868011980127,optimal
281,{'NGO1373'},,infeasible
282,{'NGO0619'},,infeasible
283,{'NGO0921'},,infeasible
284,{'NGO0586'},,infeasible
285,{'NGO0916'},,infeasible
286,{'NGO1413'},,infeasible
287,{'NGO1742'},,infeasible
288,{'NGO1307'},,infeasible
289,{'NGO0580'},,infeasible
290,{'NGO2110'},,infeasible
291,{'NGO1786'},,infeasible
292,{'NGO1609'},,infeasible
293,{'NGO1080'},1.0176868011980127,optimal
294,{'NGO1973'},1.0176868011980127,optimal
295,{'NGO0925'},,infeasible
296,{'NGO1334'},,infeasible
297,{'NGO2029'},,infeasible
298,{'NGO1547'},,infeasible
299,{'NGO0312'},,infeasible
300,{'NGO0099'},,infeasible
301,{'NGO0036'},,infeasible
302,{'NGO0040'},,infeasible
303,{'NGO0857'},,infeasible
304,{'NGO0215'},1.0176868011980127,optimal
305,{'NGO2156'},,infeasible
306,{'NGO1763'},,infeasible
307,{'NGO0717'},,infeasible
308,{'NGO0562'},,infeasible
309,{'NGO0755'},,infeasible
310,{'NGO0224'},,infeasible
311,{'NGO0654'},,infeasible
312,{'NGO1682'},,infeasible
313,{'NGO1414'},,infeasible
314,{'NGO08225'},,infeasible
315,{'NGO1750'},,infeasible
316,{'NGO0875'},,infeasible
317,{'NGO1283'},,infeasible
318,{'NGO2166'},,infeasible
319,{'NGO0589'},1.0176868011980134,optimal
320,{'NGO1748'},,infeasible
321,{'NGO1235'},1.0176868011980134,optimal
322,{'NGO1535'},,infeasible
323,{'NGO1905'},1.017583177929841,optimal
324,{'NGO0269'},1.0176868011980125,optimal
325,{'NGO0105'},,infeasible
326,{'NGO0327'},1.0176868011980134,optimal
327,{'NGO2000'},,infeasible
