,ids,growth,status
174,{'NGO0440'},,infeasible
175,{'NGO0044'},,infeasible
176,{'NGO0436'},,infeasible
177,{'NGO0214'},1.1442786205990125,optimal
178,{'NGO2165'},,infeasible
179,{'NGO1403'},,infeasible
180,{'NGO1773'},1.63811646548202,optimal
181,{'NGO1926'},,infeasible
182,{'NGO0912'},,infeasible
183,{'NGO0620'},,infeasible
184,{'NGO0441'},,infeasible
185,{'NGO2140'},1.63811646548202,optimal
186,{'NGO1997'},,infeasible
187,{'NGO0142'},,infeasible
188,{'NGO1466'},,infeasible
189,{'NGO1331'},,infeasible
190,{'NGO1694'},,infeasible
191,{'NGO1747'},,infeasible
192,{'NGO1404'},1.632907728614799,optimal
193,{'NGO1567'},,infeasible
194,{'NGO0146'},,infeasible
195,{'NGO0977'},1.63811646548202,optimal
196,{'NGO0594'},,infeasible
197,{'NGO0101'},1.63811646548202,optimal
198,{'NGO1188'},1.63811646548202,optimal
199,{'NGO1797'},,infeasible
200,{'NGO2037'},1.63811646548202,optimal
201,{'NGO1358'},,infeasible
202,{'NGO1041'},1.63811646548202,optimal
203,{'NGO1533'},,infeasible
204,{'NGO2164'},,infeasible
205,{'NGO1749'},,infeasible
206,{'NGO0617'},,infeasible
207,{'NGO2151'},,infeasible
208,{'NGO1500'},,infeasible
209,{'NGO0565'},1.0833331571042177,optimal
210,{'NGO0533'},,infeasible
211,{'NGO2073'},1.63811646548202,optimal
212,{'NGO0310'},,infeasible
213,{'NGO0929'},,infeasible
214,{'NGO2102'},,infeasible
215,{'NGO0597'},,infeasible
216,{'NGO1521'},1.63811646548202,optimal
217,{'NGO2144'},,infeasible
218,{'NGO0968'},1.63811646548202,optimal
219,{'NGO0168'},,infeasible
220,{'NGO1467'},1.63811646548202,optimal
221,{'NGO0713'},1.216897454380253,optimal
222,{'NGO0534'},,infeasible
223,{'NGO1575'},,infeasible
224,{'NGO0915'},,infeasible
225,{'NGO1371'},,infeasible
226,{'NGO1236'},1.6381105666642595,optimal
227,{'NGO0394'},,infeasible
228,{'NGO1804'},,infeasible
229,{'NGO1807'},1.63811646548202,optimal
230,{'NGO1532'},,infeasible
231,{'NGO1798'},,infeasible
232,{'NGO1345'},1.63811646548202,optimal
233,{'NGO0107'},1.63811646548202,optimal
234,{'NGO1666'},,infeasible
235,{'NGO1206'},,infeasible
236,{'NGO0242'},,infeasible
237,{'NGO1417'},,infeasible
238,{'NGO0615'},,infeasible
239,{'NGO0045'},,infeasible
240,{'NGO1980'},,infeasible
241,{'NGO0017'},,infeasible
242,{'NGO1449'},,infeasible
243,{'NGO2143'},1.63811646548202,optimal
244,{'NGO0920'},,infeasible
245,{'NGO2036'},1.63811646548202,optimal
246,{'NGO0003'},1.6159336811427611,optimal
247,{'NGO1738'},,infeasible
248,{'NGO1224'},,infeasible
249,{'NGO1806'},,infeasible
250,{'NGO2079'},1.63811646548202,optimal
251,{'NGO2112'},,infeasible
252,{'NGO1424'},,infeasible
253,{'NGO1799'},,infeasible
254,{'NGO1896'},,infeasible
255,{'NGO0922'},,infeasible
256,{'NGO1354'},,infeasible
257,{'NGO1743'},,infeasible
258,{'NGO1735'},,infeasible
259,{'NGO2056'},,infeasible
260,{'NGO2159'},,infeasible
261,{'NGO0793'},,infeasible
262,{'NGO0372'},1.63811646548202,optimal
263,{'NGO0928'},,infeasible
264,{'NGO1328'},1.3260092147091063,optimal
265,{'NGO2035'},1.638116465482013,optimal
266,{'NGO1247'},,infeasible
267,{'NGO1711'},,infeasible
268,{'NGO0714'},1.216897454380253,optimal
269,{'NGO0799'},,infeasible
270,{'NGO1233'},1.6381105666642595,optimal
271,{'NGO0169'},,infeasible
272,{'NGO1527'},1.63811646548202,optimal
