Name,formula,charge,Curation of Metabolite Formula
h2s_e,H2S,0,Preserved from Nmb_iTM560
h2s_p,H2S,0,Preserved from Nmb_iTM560
h5deACP_c,C27H49N2O8PRS,-1,Preserved from Nmb_iTM560
hco3_c,CHO3,-1,Preserved from Nmb_iTM560
hcys_L_c,C4H9NO2S,0,Preserved from Nmb_iTM560
hdca_e,C16H31O2,-1,Preserved from Nmb_iTM560
hdca_p,C16H31O2,-1,Preserved from Nmb_iTM560
hdcap_c,C16H32O5P,-1,Added to iNgo_558 from BIGG
hdcat9_p,C16H29O2,-1,Preserved from Nmb_iTM560
hdcea_e,C16H29O2,-1,Preserved from Nmb_iTM560
hdcea_p,C16H29O2,-1,Preserved from Nmb_iTM560
hdceap_c,C16H30O5P,-1,Added to iNgo_558 from BIGG
hdcoa_c,C37H60N7O17P3S,-4,Preserved from Nmb_iTM560
hdeACP_c,C27H49N2O8PRS,-1,Preserved from Nmb_iTM560
hdet9ACP_c,C27H49N2O8PRS,-1,Preserved from Nmb_iTM560
hexACP_c,C17H31N2O8PRS,-1,Preserved from Nmb_iTM560
Hg_e,R,0,Preserved from Nmb_iTM560
Hg2_c,Hg,0,Preserved from Nmb_iTM560
hg2_e,Hg,2,Preserved from Nmb_iTM560
hg2_p,Hg,2,Preserved from Nmb_iTM560
Hg2_p,Hg,0,Preserved from Nmb_iTM560
HgFe3_e,RC136H120Fe4N16O16,0,Preserved from Nmb_iTM560
hhlipa_c,C118H208N2O51P2,-6,Preserved from Nmb_iTM560
his_L_c,C6H9N3O2,0,Preserved from Nmb_iTM560
his_L_e,C6H9N3O2,0,Preserved from Nmb_iTM560
his_L_p,C6H9N3O2,0,Preserved from Nmb_iTM560
hisp_c,C6H11N3O4P,-1,Preserved from Nmb_iTM560
histd_c,C6H12N3O,1,Preserved from Nmb_iTM560
hlipa_c,C111H196N2O45P2,-6,Preserved from Nmb_iTM560
hmbil_c,C40H38N4O17,-8,Preserved from Nmb_iTM560
hmfurn_c,C5H6O3,0,Preserved from Nmb_iTM560
hmgth_c,C11H18N3O7S,-1,Preserved from Nmb_iTM560
hom_L_c,C4H9NO3,0,Preserved from Nmb_iTM560
hom_L_e,C4H9NO3,0,Preserved from Nmb_iTM560
hom_L_p,C4H9NO3,0,Preserved from Nmb_iTM560
hpyr_c,C3H3O4,-1,Preserved from Nmb_iTM560
hxa_e,C6H11O2,-1,Preserved from Nmb_iTM560
hxa_p,C6H11O2,-1,Preserved from Nmb_iTM560
hxan_c,C5H4N4O,0,Preserved from Nmb_iTM560
hxan_e,C5H4N4O,0,Preserved from Nmb_iTM560
hxan_p,C5H4N4O,0,Preserved from Nmb_iTM560
hxcoa_c,C27H42N7O17P3S,-4,Preserved from Nmb_iTM560
iasp_c,C4H3NO4,-2,Preserved from Nmb_iTM560
icit_c,C6H5O7,-3,Preserved from Nmb_iTM560
icolipa_c,C144H252N3O71P2,-5,"For GLCTR1 - Formula for icolipa_c is incorrect. When glc is added to peagnahhlipa_c, the previous reaction did not add the oxygens. "
idon_L_e,C6H11O7,0,#The corresponding reactions in LOS synthesis all are also missing these 5 oxygens. This is corrected here.
idon_L_p,C6H11O7,0,#Used structure diagrams here PMID: 11496013 and here PMID: 30873172 to determine proper formulas.
idp_c,C10H11N4O11P2,-3,Preserved from Nmb_iTM560
ile_L_c,C6H13NO2,0,Preserved from Nmb_iTM560
ile_L_e,C6H13NO2,0,Preserved from Nmb_iTM560
ile_L_p,C6H13NO2,0,Preserved from Nmb_iTM560
imacp_c,C6H7N2O5P,-2,Preserved from Nmb_iTM560
imp_c,C10H11N4O8P,-2,Preserved from Nmb_iTM560
imp_e,C10H11N4O8P,-2,Preserved from Nmb_iTM560
imp_p,C10H11N4O8P,-2,Preserved from Nmb_iTM560
indole_c,C8H7N,0,Preserved from Nmb_iTM560
indole_e,C8H7N,0,Preserved from Nmb_iTM560
indole_p,C8H7N,0,Preserved from Nmb_iTM560
inost_c,C6H12O6,0,Preserved from Nmb_iTM560
inost_e,C6H12O6,0,Preserved from Nmb_iTM560
inost_p,C6H12O6,0,Preserved from Nmb_iTM560
ins_c,C10H12N4O5,0,Preserved from Nmb_iTM560
ipdp_c,C5H9O7P2,-3,Preserved from Nmb_iTM560
isetac_e,C2H5O4S,-1,Preserved from Nmb_iTM560
isetac_p,C2H5O4S,-1,Preserved from Nmb_iTM560
itp_c,C10H11N4O14P3,-4,Preserved from Nmb_iTM560
k_c,K,1,Preserved from Nmb_iTM560
k_e,K,1,Preserved from Nmb_iTM560
k_p,K,1,Preserved from Nmb_iTM560
kdo_c,C8H13O8,-1,Preserved from Nmb_iTM560
kdo2lipid4_c,C80H140N2O37P2,-6,Preserved from Nmb_iTM560
kdo2lipid4L_c,C92H162N2O38P2,-6,Preserved from Nmb_iTM560
kdo8p_c,C8H12O11P,-3,Preserved from Nmb_iTM560
kdolipid4_c,C72H129N2O30P2,-5,Preserved from Nmb_iTM560
lac_D_c,C3H5O3,-1,Preserved from Nmb_iTM560
lac_D_e,C3H5O3,-1,Preserved from Nmb_iTM560
lac_D_p,C3H5O3,-1,Preserved from Nmb_iTM560
lac_L_c,C3H5O3,-1,Preserved from Nmb_iTM560
lac_L_e,C3H5O3,-1,Preserved from Nmb_iTM560
lac_L_p,C3H5O3,-1,Preserved from Nmb_iTM560
LalaDglu_c,C8H13N2O5,-1,Preserved from Nmb_iTM560
LalaDgluMdap_c,C15H25N4O8,-1,Preserved from Nmb_iTM560
LalaDgluMdap_e,C15H25N4O8,-1,Preserved from Nmb_iTM560
LalaDgluMdap_p,C15H25N4O8,-1,Preserved from Nmb_iTM560
LalaDgluMdapDala_c,C18H30N5O9,-1,Preserved from Nmb_iTM560
LalaDgluMdapDala_e,C18H30N5O9,-1,Preserved from Nmb_iTM560
LalaDgluMdapDala_p,C18H30N5O9,-1,Preserved from Nmb_iTM560
lald_L_c,C3H6O2,0,Preserved from Nmb_iTM560
lcts_e,C12H22O11,0,Preserved from Nmb_iTM560
lcts_p,C12H22O11,0,Preserved from Nmb_iTM560
leu_L_c,C6H13NO2,0,Preserved from Nmb_iTM560
leu_L_e,C6H13NO2,0,Preserved from Nmb_iTM560
leu_L_p,C6H13NO2,0,Preserved from Nmb_iTM560
Lf_e,R,0,Preserved from Nmb_iTM560
LfFe3_e,RFe,0,Preserved from Nmb_iTM560
lgt_S_c,C13H20N3O8S,-1,Preserved from Nmb_iTM560
lipa_c,C104H184N2O39P2,-6,Preserved from Nmb_iTM560
lipa_e,C104H184N2O39P2,-6,Preserved from Nmb_iTM560
lipa_p,C104H184N2O39P2,-6,Preserved from Nmb_iTM560
lipidA_c,C64H118N2O23P2,-4,Preserved from Nmb_iTM560
lipidAds_c,C64H119N2O20P,-2,Preserved from Nmb_iTM560
lipidX_c,C32H60NO12P,-2,Preserved from Nmb_iTM560
los_GC_c,C164H286N4O86P2,-4,"For GLCTR1 - Formula for icolipa_c is incorrect. When glc is added to peagnahhlipa_c, the previous reaction did not add the oxygens. 
#The corresponding reactions in LOS synthesis all are also missing these 5 oxygens. This is corrected here.
#Used structure diagrams here PMID: 11496013 and here PMID: 30873172 to determine proper formulas."
lys_L_c,C6H15N2O2,1,Preserved from Nmb_iTM560
lys_L_e,C6H15N2O2,1,Preserved from Nmb_iTM560
lys_L_p,C6H15N2O2,1,Preserved from Nmb_iTM560
lyx_L_e,C5H10O5,0,Preserved from Nmb_iTM560
lyx_L_p,C5H10O5,0,Preserved from Nmb_iTM560
mal_D_e,C4H4O5,0,Preserved from Nmb_iTM560
mal_D_p,C4H4O5,0,Preserved from Nmb_iTM560
mal_L_c,C4H4O5,-2,Preserved from Nmb_iTM560
mal_L_e,C4H4O5,-2,Preserved from Nmb_iTM560
mal_L_p,C4H4O5,-2,Preserved from Nmb_iTM560
malACP_c,C14H22N2O10PRS,-2,Preserved from Nmb_iTM560
malcoa_c,C24H33N7O19P3S,-5,Preserved from Nmb_iTM560
malt_c,C12H22O11,0,Preserved from Nmb_iTM560
malt_e,C12H22O11,0,Preserved from Nmb_iTM560
malt_p,C12H22O11,0,Preserved from Nmb_iTM560
man_e,C6H12O6,0,Preserved from Nmb_iTM560
man_p,C6H12O6,0,Preserved from Nmb_iTM560
man1p_c,C6H11O9P,-2,Preserved from Nmb_iTM560
man6p_e,C6H11O9P,-2,Preserved from Nmb_iTM560
man6p_p,C6H11O9P,-2,Preserved from Nmb_iTM560
manglyc_e,C9H15O9,-1,Preserved from Nmb_iTM560
manglyc_p,C9H15O9,-1,Preserved from Nmb_iTM560
melib_e,C12H22O11,0,Preserved from Nmb_iTM560
melib_p,C12H22O11,0,Preserved from Nmb_iTM560
met_D_c,C5H10NO2S,0,Preserved from Nmb_iTM560
met_D_e,C5H10NO2S,0,Preserved from Nmb_iTM560
met_D_p,C5H10NO2S,0,Preserved from Nmb_iTM560
met_L_c,C5H11NO2S,0,Preserved from Nmb_iTM560
met_L_e,C5H11NO2S,0,Preserved from Nmb_iTM560
met_L_p,C5H11NO2S,0,Preserved from Nmb_iTM560
methf_c,C20H20N7O6,-1,Preserved from Nmb_iTM560
metsox_R_L_c,C5H11NO3S,0,Preserved from Nmb_iTM560
metsox_R_L_e,C5H11NO3S,0,Preserved from Nmb_iTM560
metsox_R_L_p,C5H11NO3S,0,Preserved from Nmb_iTM560
metsox_S_L_c,C5H11NO3S,0,Preserved from Nmb_iTM560
metsox_S_L_e,C5H11NO3S,0,Preserved from Nmb_iTM560
metsox_S_L_p,C5H11NO3S,0,Preserved from Nmb_iTM560
mg2_c,Mg,2,Preserved from Nmb_iTM560
mg2_e,Mg,2,Preserved from Nmb_iTM560
mg2_p,Mg,2,Preserved from Nmb_iTM560
mi1p_D_c,C6H11O9P,-2,Preserved from Nmb_iTM560
micit_c,C7H7O7,-3,Preserved from Nmb_iTM560
mlthf_c,C20H21N7O6,-2,Preserved from Nmb_iTM560
mmet_e,C6H14NO2S,1,Preserved from Nmb_iTM560
mmet_p,C6H14NO2S,1,Preserved from Nmb_iTM560
mn2_c,Mn,2,Preserved from Nmb_iTM560
mn2_e,Mn,2,Preserved from Nmb_iTM560
mn2_p,Mn,2,Preserved from Nmb_iTM560
mnl_e,C6H14O6,0,Preserved from Nmb_iTM560
mnl_p,C6H14O6,0,Preserved from Nmb_iTM560
mobd_c,MoO4,-2,Absent from Nmb_iTM560. Added from BIGG.
mobd_e,MoO4,-2,Absent from Nmb_iTM560. Added from BIGG.
mobd_p,MoO4,-2,Absent from Nmb_iTM560. Added from BIGG.
mso3_e,CH3O3S,-1,Preserved from Nmb_iTM560
mso3_p,CH3O3S,-1,Preserved from Nmb_iTM560
mthgxl_c,C3H4O2,0,Preserved from Nmb_iTM560
murein3p3p_p,C68H104N12O38,-4,Added to iNgo_558 from BIGG
murein4p3p_p,C71H109N13O39,-4,Preserved from Nmb_iTM560
murein4p3pOAc_p,C73H113N13O41,-4,Preserved from Nmb_iTM560
murein4p4p_p,C74H114N14O40,-4,Preserved from Nmb_iTM560
murein4p4p4p_p,C111H174N15O60,0,Preserved from Nmb_iTM560
murein4p4p4pOAc_p,C113H178N15O62,0,Preserved from Nmb_iTM560
murein4p4pdOAc_p,C78H122N14O44,-4,Preserved from Nmb_iTM560
murein4p4pOAc_p,C76H118N14O42,-4,Preserved from Nmb_iTM560
murein4px4p_p,C74H112N14O39,-4,Preserved from Nmb_iTM560
murein4px4p4p_p,C111H169N21O59,-6,Preserved from Nmb_iTM560
murein4px4px4p_p,C111H167N21O58,-6,Preserved from Nmb_iTM560
murein4px4px4pdOAc_p,C115H175N21O62,-6,"MAc7 and MAc8 which produces murein4p4p4pdOac and murein 4p4p4ptOAc respectively, where altered to use murein 4px4px4p as the base instead."
murein4px4px4pOAc_p,C113H171N21O60,-6,Preserved from Nmb_iTM560
murein4px4px4ptOAc_p,C117H179N21O64,-6,"MAc7 and MAc8 which produces murein4p4p4pdOac and murein 4p4p4ptOAc respectively, where altered to use murein 4px4px4p as the base instead."
murein5p3p_p,C74H114N14O40,-4,Preserved from Nmb_iTM560
murein5p4p_p,C77H119N15O41,-4,Preserved from Nmb_iTM560
murein5p4pOAc_p,C79H123N15O43,-4,"In the formula for murein5p4pOAc in Nmb_iTM560, the oxygen that gets added during acylation was forgotten. Corrected here."
murein5p5p_p,C80H124N16O42,-4,Preserved from Nmb_iTM560
murein5p5p5p_p,C120H186N24O63,-6,Preserved from Nmb_iTM560
murein5px3p_p,C74H112N14O39,-4,Added to iNgo_558 from BIGG
murein5px4p_p,C77H117N15O40,-4,Preserved from Nmb_iTM560
murein5px4px4p_p,C114H172N22O59,-6,Preserved from Nmb_iTM560
myrsACP_c,C25H47N2O8PRS,-1,Preserved from Nmb_iTM560
n2o_c,N2O,0,Preserved from Nmb_iTM560
n2o_e,N2O,0,Preserved from Nmb_iTM560
n2o_p,N2O,0,Preserved from Nmb_iTM560
na1_c,Na,1,Preserved from Nmb_iTM560
na1_e,Na,1,Preserved from Nmb_iTM560
na1_p,Na,1,Preserved from Nmb_iTM560
nac_c,C6H4NO2,-1,Preserved from Nmb_iTM560
nac_e,C6H4NO2,-1,Preserved from Nmb_iTM560
nac_p,C6H4NO2,-1,Preserved from Nmb_iTM560
nad_c,C21H26N7O14P2,-1,Preserved from Nmb_iTM560
nadh_c,C21H27N7O14P2,-2,Preserved from Nmb_iTM560
nadp_c,C21H25N7O17P3,-3,Preserved from Nmb_iTM560
nadph_c,C21H26N7O17P3,-4,Preserved from Nmb_iTM560
ncam_c,C6H6N2O,0,Preserved from Nmb_iTM560
nh4_c,H4N,1,Preserved from Nmb_iTM560
nh4_e,H4N,1,Preserved from Nmb_iTM560
nh4_p,H4N,1,Preserved from Nmb_iTM560
ni2_c,Ni,2,Preserved from Nmb_iTM560
ni2_e,Ni,2,Preserved from Nmb_iTM560
ni2_p,Ni,2,Preserved from Nmb_iTM560
nicrns_c,C11H13NO6,0,Added to iNgo_558 from BIGG
nicrnt_c,C11H12NO9P,-2,Preserved from Nmb_iTM560
nmn_c,C11H14N2O8P,-1,Preserved from Nmb_iTM560
nmn_e,C11H14N2O8P,-1,Preserved from Nmb_iTM560
nmn_p,C11H14N2O8P,-1,Preserved from Nmb_iTM560
no_c,NO,0,Preserved from Nmb_iTM560
no_e,NO,0,Preserved from Nmb_iTM560
no_p,NO,0,Preserved from Nmb_iTM560
no2_e,NO2,-1,Preserved from Nmb_iTM560
no2_p,NO2,-1,Preserved from Nmb_iTM560
no3_e,NO3,-1,Preserved from Nmb_iTM560
no3_p,NO3,-1,Preserved from Nmb_iTM560
o2_c,O2,0,Preserved from Nmb_iTM560
o2_e,O2,0,Preserved from Nmb_iTM560
o2_p,O2,0,Preserved from Nmb_iTM560
o2s_c,O2,-1,Preserved from Nmb_iTM560
o2s_e,O2,-1,Preserved from Nmb_iTM560
o2s_p,O2,-1,Preserved from Nmb_iTM560
oaa_c,C4H2O5,-2,Preserved from Nmb_iTM560
oaa_e,C4H2O5,-2,Preserved from Nmb_iTM560
oaa_p,C4H2O5,-2,Preserved from Nmb_iTM560
ocACP_c,C19H35N2O8PRS,-1,Preserved from Nmb_iTM560
occoa_c,C29H46N7O17P3S,-4,Preserved from Nmb_iTM560
ocdca_e,C18H35O2,-1,Preserved from Nmb_iTM560
ocdca_p,C18H35O2,-1,Preserved from Nmb_iTM560
ocdcaACP_c,C29H55N2O8PRS,-1,Preserved from Nmb_iTM560
ocdcap_c,C18H36O5P,-1,Added to iNgo_558 from BIGG
ocdcea_e,C18H33O2,-1,Preserved from Nmb_iTM560
ocdcea_p,C18H33O2,-1,Preserved from Nmb_iTM560
ocdceap_c,C18H34O5P,-1,Added to iNgo_558 from BIGG
oct7eACP_c,C29H53N2O8PRS,-1,Preserved from Nmb_iTM560
octa_e,C8H15O2,-1,Preserved from Nmb_iTM560
octa_p,C8H15O2,-1,Preserved from Nmb_iTM560
octdp_c,C40H65O7P2,-3,Preserved from Nmb_iTM560
octeACP_c,C29H53N2O8PRS,-1,Added to iNgo_558 from BIGG
odecoa_c,C39H64N7O17P3S,-4,Preserved from Nmb_iTM560
ohpb_c,C4H4O8P,-3,Preserved from Nmb_iTM560
orn_c,C5H13N2O2,1,Preserved from Nmb_iTM560
orn_e,C5H13N2O2,1,Preserved from Nmb_iTM560
orn_p,C5H13N2O2,1,Preserved from Nmb_iTM560
orot_c,C5H3N2O4,-1,Preserved from Nmb_iTM560
orot_e,C5H3N2O4,-1,Preserved from Nmb_iTM560
orot_p,C5H3N2O4,-1,Preserved from Nmb_iTM560
orot5p_c,C10H10N2O11P,-3,Preserved from Nmb_iTM560
oxa_c,C2H2O4,-2,Preserved from Nmb_iTM560
oxa_p,C2H2O4,-2,Preserved from Nmb_iTM560
pa120_c,C27H51O8P1,-2,Preserved from Nmb_iTM560
pa120_p,C27H51O8P1,-2,Preserved from Nmb_iTM560
pa140_c,C31H59O8P1,-2,Preserved from Nmb_iTM560
pa140_p,C31H59O8P1,-2,Preserved from Nmb_iTM560
pa141_c,C31H55O8P1,-2,Preserved from Nmb_iTM560
pa141_p,C31H55O8P1,-2,Preserved from Nmb_iTM560
pa160_c,C35H67O8P1,-2,Preserved from Nmb_iTM560
pa160_p,C35H67O8P1,-2,Preserved from Nmb_iTM560
pa160a_c,C31H59O8P1,-2,Preserved from Nmb_iTM560
pa161_c,C35H63O8P1,-2,Preserved from Nmb_iTM560
pa161_p,C35H63O8P1,-2,Preserved from Nmb_iTM560
pa180_c,C39H75O8P1,-2,Preserved from Nmb_iTM560
pa180_p,C39H75O8P1,-2,Preserved from Nmb_iTM560
pa181_c,C39H71O8P1,-2,Preserved from Nmb_iTM560
pa181_p,C39H71O8P1,-2,Preserved from Nmb_iTM560
pacald_e,C8H8O,0,Preserved from Nmb_iTM560
pacald_p,C8H8O,0,Preserved from Nmb_iTM560
palmACP_c,C27H51N2O8PRS,-1,Preserved from Nmb_iTM560
pan4p_c,C11H21N2O7PS,-2,Preserved from Nmb_iTM560
pant_R_c,C6H11O4,-1,Preserved from Nmb_iTM560
pap_c,C10H11N5O10P2,-4,Preserved from Nmb_iTM560
pdx5p_c,C8H10NO6P,-2,Preserved from Nmb_iTM560
pe120_c,C29H58N1O8P1,0,Preserved from Nmb_iTM560
pe120_p,C29H58N1O8P1,0,Preserved from Nmb_iTM560
pe140_c,C33H66N1O8P1,0,Preserved from Nmb_iTM560
pe140_p,C33H66N1O8P1,0,Preserved from Nmb_iTM560
pe141_c,C33H62N1O8P1,0,Preserved from Nmb_iTM560
pe141_p,C33H62N1O8P1,0,Preserved from Nmb_iTM560
pe141b_c,C33H64N1O8P1,0,Added to iNgo_558 from BIGG
pe141b_p,C33H64N1O8P1,0,Added to iNgo_558 from BIGG
pe160_c,C37H74N1O8P1,0,Preserved from Nmb_iTM560
pe160_p,C37H74N1O8P1,0,Preserved from Nmb_iTM560
pe161_c,C37H70N1O8P1,0,Added to iNgo_558 from BIGG
pe161_p,C37H70N1O8P1,0,Added to iNgo_558 from BIGG
pe180_c,C41H82N1O8P1,0,Preserved from Nmb_iTM560
pe180_p,C41H82N1O8P1,0,Preserved from Nmb_iTM560
pe181_c,C41H78N1O8P1,0,Preserved from Nmb_iTM560
pe181_p,C41H78N1O8P1,0,Preserved from Nmb_iTM560
peamn_e,C8H12N,1,Preserved from Nmb_iTM560
peamn_p,C8H12N,1,Preserved from Nmb_iTM560
pep_c,C3H2O6P,-3,Preserved from Nmb_iTM560
pg120_c,C30H58O10P1,-1,Preserved from Nmb_iTM560
pg120_p,C30H58O10P1,-1,Preserved from Nmb_iTM560
pg140_c,C34H66O10P1,-1,Preserved from Nmb_iTM560
pg140_p,C34H66O10P1,-1,Preserved from Nmb_iTM560
pg141_c,C34H62O10P1,-1,Preserved from Nmb_iTM560
pg141_p,C34H62O10P1,-1,Preserved from Nmb_iTM560
pg160_c,C38H74O10P1,-1,Preserved from Nmb_iTM560
pg160_p,C38H74O10P1,-1,Preserved from Nmb_iTM560
pg161_c,C38H70O10P1,-1,Preserved from Nmb_iTM560
pg161_p,C38H70O10P1,-1,Preserved from Nmb_iTM560
pg180_c,C42H82O10P1,-1,Preserved from Nmb_iTM560
pg180_p,C42H82O10P1,-1,Preserved from Nmb_iTM560
pg181_c,C42H78O10P1,-1,Preserved from Nmb_iTM560
pg181_p,C42H78O10P1,-1,Preserved from Nmb_iTM560
pgp120_c,C30H57O13P2,-3,Preserved from Nmb_iTM560
pgp120_p,C30H57O13P2,-3,Preserved from Nmb_iTM560
pgp140_c,C34H65O13P2,-3,Preserved from Nmb_iTM560
pgp140_p,C34H65O13P2,-3,Preserved from Nmb_iTM560
pgp141_c,C34H61O13P2,-3,Preserved from Nmb_iTM560
pgp141_p,C34H61O13P2,-3,Preserved from Nmb_iTM560
pgp160_c,C38H73O13P2,-3,Preserved from Nmb_iTM560
pgp160_p,C38H73O13P2,-3,Preserved from Nmb_iTM560
pgp161_c,C38H69O13P2,-3,Preserved from Nmb_iTM560
pgp161_p,C38H69O13P2,-3,Preserved from Nmb_iTM560
pgp180_c,C42H81O13P2,-3,Preserved from Nmb_iTM560
pgp180_p,C42H81O13P2,-3,Preserved from Nmb_iTM560
pgp181_c,C42H77O13P2,-3,Preserved from Nmb_iTM560
pgp181_p,C42H77O13P2,-3,Preserved from Nmb_iTM560
phe_L_c,C9H11NO2,0,Preserved from Nmb_iTM560
phe_L_e,C9H11NO2,0,Preserved from Nmb_iTM560
phe_L_p,C9H11NO2,0,Preserved from Nmb_iTM560
pheme_c,C34H30FeN4O4,-2,Preserved from Nmb_iTM560
pheme_e,C34H30FeN4O4,-2,Preserved from Nmb_iTM560
pheme_p,C34H30FeN4O4,-2,Preserved from Nmb_iTM560
phom_c,C4H8NO6P,-2,Preserved from Nmb_iTM560
phpyr_c,C9H7O3,-1,Preserved from Nmb_iTM560
phthr_c,C4H8NO7P,-2,Preserved from Nmb_iTM560
pi_c,HO4P,-2,Preserved from Nmb_iTM560
pi_e,HO4P,-2,Preserved from Nmb_iTM560
pi_p,HO4P,-2,Preserved from Nmb_iTM560
pmcoa_c,C28H41N7O19P3S,-5,Preserved from Nmb_iTM560
pmtcoa_c,C37H62N7O17P3S,-4,Preserved from Nmb_iTM560
pnto_R_c,C9H16NO5,-1,Preserved from Nmb_iTM560
pnto_R_e,C9H16NO5,0,Preserved from Nmb_iTM560
pnto_R_p,C9H16NO5,0,Preserved from Nmb_iTM560
ppa_c,C3H5O2,-1,Preserved from Nmb_iTM560
ppa_e,C3H5O2,-1,Preserved from Nmb_iTM560
ppa_p,C3H5O2,-1,Preserved from Nmb_iTM560
ppal_c,C3H6O,0,Preserved from Nmb_iTM560
ppal_e,C3H6O,0,Preserved from Nmb_iTM560
ppal_p,C3H6O,0,Preserved from Nmb_iTM560
ppap_c,C3H5O5P,-2,Preserved from Nmb_iTM560
ppbng_c,C10H13N2O4,-1,Preserved from Nmb_iTM560
ppcoa_c,C24H36N7O17P3S,-4,Preserved from Nmb_iTM560
ppgpp_c,C10H11N5O17P4,-6,Preserved from Nmb_iTM560
pphn_c,C10H8O6,-2,Preserved from Nmb_iTM560
ppi_c,HO7P2,-3,Preserved from Nmb_iTM560
ppp9_c,C34H32N4O4,-2,Preserved from Nmb_iTM560
pppg9_c,C34H38N4O4,-2,Preserved from Nmb_iTM560
pppi_c,HO10P3,-4,Preserved from Nmb_iTM560
pppn_e,C9H9O2,-1,Preserved from Nmb_iTM560
pppn_p,C9H9O2,-1,Preserved from Nmb_iTM560
ppt_e,HO3P,-2,Preserved from Nmb_iTM560
ppt_p,HO3P,-2,Preserved from Nmb_iTM560
pram_c,C5H11NO7P,-1,Preserved from Nmb_iTM560
pran_c,C12H13NO9P,-3,Preserved from Nmb_iTM560
prbamp_c,C15H19N5O14P2,-4,Preserved from Nmb_iTM560
prbatp_c,C15H19N5O20P4,-6,Preserved from Nmb_iTM560
preq0_c,C7H5N5O,0,Added to iNgo_558 from BIGG
preq1_c,C7H10N5O,1,Added to iNgo_558 from BIGG
prfp_c,C15H21N5O15P2,-4,Preserved from Nmb_iTM560
prlp_c,C15H21N5O15P2,-4,Preserved from Nmb_iTM560
pro_L_c,C5H9NO2,0,Preserved from Nmb_iTM560
pro_L_e,C5H9NO2,0,Preserved from Nmb_iTM560
pro_L_p,C5H9NO2,0,Preserved from Nmb_iTM560
progly_c,C7H12N2O3,0,Preserved from Nmb_iTM560
progly_e,C7H12N2O3,0,Preserved from Nmb_iTM560
progly_p,C7H12N2O3,0,Preserved from Nmb_iTM560
prpp_c,C5H9O14P3,-4,Added to iNgo_558 from BIGG
ps120_c,C30H57N1O10P1,-1,Preserved from Nmb_iTM560
ps140_c,C34H65N1O10P1,-1,Preserved from Nmb_iTM560
ps141_c,C34H61N1O10P1,-1,Preserved from Nmb_iTM560
ps160_c,C38H73N1O10P1,-1,Preserved from Nmb_iTM560
ps161_c,C38H69N1O10P1,-1,Added to iNgo_558 from BIGG
ps180_c,C42H81N1O10P1,-1,Preserved from Nmb_iTM560
ps181_c,C42H77N1O10P1,-1,Preserved from Nmb_iTM560
psclys_e,C12H25N2O7,1,Preserved from Nmb_iTM560
psclys_p,C12H25N2O7,1,Preserved from Nmb_iTM560
pser_L_c,C3H6NO6P,-2,Preserved from Nmb_iTM560
pser_L_e,C3H6NO6P,0,Preserved from Nmb_iTM560
pser_L_p,C3H6NO6P,0,Preserved from Nmb_iTM560
ptrc_c,C4H14N2,2,Preserved from Nmb_iTM560
ptrc_e,C4H14N2,2,Preserved from Nmb_iTM560
ptrc_p,C4H14N2,2,Preserved from Nmb_iTM560
pyam5p_c,C8H12N2O5P,-1,Preserved from Nmb_iTM560
pydam_c,C8H13N2O2,1,Preserved from Nmb_iTM560
pydx_c,C8H9NO3,0,Preserved from Nmb_iTM560
pydx5p_c,C8H8NO6P,-2,Preserved from Nmb_iTM560
pydxn_c,C8H11NO3,0,Preserved from Nmb_iTM560
pyr_c,C3H3O3,-1,Preserved from Nmb_iTM560
pyr_e,C3H3O3,-1,Preserved from Nmb_iTM560
pyr_p,C3H3O3,-1,Preserved from Nmb_iTM560
q8_c,C49H74O4,0,Preserved from Nmb_iTM560
q8h2_c,C49H76O4,0,Preserved from Nmb_iTM560
quln_c,C7H3NO4,-2,Preserved from Nmb_iTM560
r1p_c,C5H9O8P,-2,Preserved from Nmb_iTM560
r5p_c,C5H9O8P,-2,Preserved from Nmb_iTM560
r5p_e,C5H9O8P,-2,Preserved from Nmb_iTM560
r5p_p,C5H9O8P,-2,Preserved from Nmb_iTM560
rbflvrd_c,C17H22N4O6,0,Added to iNgo_558 from BIGG
rhcys_c,C9H17NO6S,0,Preserved from Nmb_iTM560
rib_D_c,C5H10O5,0,Preserved from Nmb_iTM560
rib_D_e,C5H10O5,0,Preserved from Nmb_iTM560
rib_D_p,C5H10O5,0,Preserved from Nmb_iTM560
ribflv_c,C17H20N4O6,0,Preserved from Nmb_iTM560
rmn_e,C6H12O5,0,Preserved from Nmb_iTM560
rmn_p,C6H12O5,0,Preserved from Nmb_iTM560
rnam_c,C11H15N2O5,1,Preserved from Nmb_iTM560
ru5p_D_c,C5H9O8P,-2,Preserved from Nmb_iTM560
s7p_c,C7H13O10P,-2,Preserved from Nmb_iTM560
sbt_D_e,C6H14O6,0,Preserved from Nmb_iTM560
sbt_D_p,C6H14O6,0,Preserved from Nmb_iTM560
ser_D_c,C3H7NO3,0,Preserved from Nmb_iTM560
ser_D_e,C3H7NO3,0,Preserved from Nmb_iTM560
ser_D_p,C3H7NO3,0,Preserved from Nmb_iTM560
ser_L_c,C3H7NO3,0,Preserved from Nmb_iTM560
ser_L_e,C3H7NO3,0,Preserved from Nmb_iTM560
ser_L_p,C3H7NO3,0,Preserved from Nmb_iTM560
